iter	Passed	Remaining
0	147	147347
1	148	74055
2	149	49595
3	149	37304
4	150	29940
5	150	25006
6	151	21487
7	151	18839
8	152	16798
9	153	15153
10	153	13805
11	154	12687
12	154	11739
13	155	10923
14	155	10213
15	156	9598
16	156	9059
17	157	8575
18	157	8144
19	158	7755
20	158	7402
21	159	7083
22	159	6791
23	160	6521
24	160	6274
25	161	6046
26	161	5835
27	162	5640
28	162	5456
29	163	5287
30	164	5126
31	164	4979
32	165	4838
33	165	4706
34	166	4581
35	166	4462
36	167	4353
37	167	4248
38	168	4147
39	168	4052
40	169	3961
41	169	3876
42	170	3794
43	171	3716
44	171	3641
45	172	3569
46	172	3501
47	173	3434
48	173	3371
49	174	3310
50	174	3252
51	175	3196
52	175	3141
53	176	3088
54	176	3039
55	177	2991
56	178	2945
57	178	2901
58	179	2859
59	179	2816
60	180	2777
61	180	2737
62	181	2700
63	182	2664
64	182	2629
65	183	2595
66	183	2561
67	184	2524
68	184	2493
69	185	2463
70	186	2436
71	186	2408
72	187	2381
73	188	2355
74	188	2330
75	189	2304
76	190	2278
77	190	2254
78	191	2230
79	191	2207
80	192	2183
81	193	2161
82	193	2139
83	194	2117
84	194	2094
85	195	2074
86	195	2052
87	196	2033
88	196	2014
89	197	1996
90	198	1978
91	198	1961
92	199	1944
93	200	1928
94	200	1911
95	201	1895
96	201	1880
97	202	1865
98	203	1850
99	204	1836
100	204	1822
101	205	1805
102	205	1791
103	206	1777
104	206	1763
105	207	1750
106	208	1736
107	208	1722
108	209	1710
109	209	1697
110	210	1684
111	210	1672
112	211	1660
113	212	1648
114	212	1636
115	213	1623
116	213	1612
117	214	1601
118	214	1589
119	215	1578
120	215	1567
121	216	1557
122	216	1545
123	217	1535
124	217	1525
125	218	1515
126	219	1506
127	219	1495
128	220	1485
129	220	1476
130	221	1467
131	221	1457
132	222	1448
133	222	1439
134	223	1431
135	223	1422
136	224	1414
137	224	1405
138	225	1397
139	226	1389
140	226	1381
141	227	1373
142	227	1365
143	228	1358
144	229	1351
145	229	1343
146	230	1335
147	230	1328
148	231	1321
149	231	1314
150	232	1307
151	233	1300
152	233	1292
153	233	1285
154	234	1278
155	235	1272
156	235	1265
157	236	1259
158	236	1253
159	237	1246
160	238	1240
161	238	1234
162	239	1227
163	239	1222
164	240	1216
165	240	1210
166	241	1204
167	241	1198
168	242	1192
169	243	1186
170	243	1181
171	244	1175
172	244	1169
173	245	1164
174	245	1159
175	246	1153
176	246	1148
177	247	1143
178	248	1138
179	248	1133
180	249	1127
181	249	1122
182	250	1117
183	250	1112
184	251	1107
185	251	1102
186	252	1097
187	253	1093
188	253	1088
189	254	1083
190	254	1079
191	255	1075
192	256	1071
193	256	1066
194	257	1061
195	257	1057
196	258	1053
197	259	1049
198	259	1045
199	260	1041
200	261	1037
201	261	1033
202	262	1030
203	262	1026
204	263	1022
205	264	1018
206	264	1014
207	265	1010
208	266	1007
209	266	1003
210	267	999
211	268	996
212	268	992
213	269	988
214	269	985
215	270	981
216	271	978
217	271	974
218	272	970
219	272	967
220	273	963
221	274	961
222	276	962
223	276	959
224	277	957
225	278	954
